vehicle,site_xn_route,direction,loc_leg,month,day,y2018,y2019,y2020,ratio,tis_data_request,lat,long,loc_desc,x7,x8,version_2,x10,revision_date,x12,x29_09_2016
cycle,6411,S,59438,3,22,NA,1297,458,0.353122591,D208,NA,NA,(BIKE PATH) ST. GEORGES RD S BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,S,59438,3,29,NA,1094,449,0.410420475,D208,NA,NA,(BIKE PATH) ST. GEORGES RD S BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,S,59438,3,30,NA,241,680,2.821576763,D208,NA,NA,(BIKE PATH) ST. GEORGES RD S BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,S,59438,3,31,NA,356,750,2.106741573,D208,NA,NA,(BIKE PATH) ST. GEORGES RD S BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,S,59438,4,6,NA,598,678,1.133779264,D208,NA,NA,(BIKE PATH) ST. GEORGES RD S BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,S,59438,4,14,NA,608,743,1.222039474,D208,NA,NA,(BIKE PATH) ST. GEORGES RD S BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,S,59438,4,18,NA,1123,692,0.616206589,D208,NA,NA,(BIKE PATH) ST. GEORGES RD S BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,S,59438,4,20,NA,437,442,1.011441648,D208,NA,NA,(BIKE PATH) ST. GEORGES RD S BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,S,59438,4,23,NA,1132,687,0.606890459,D208,NA,NA,(BIKE PATH) ST. GEORGES RD S BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6411,S,59438,4,26,NA,616,423,0.686688312,D208,NA,NA,(BIKE PATH) ST. GEORGES RD S BD 28M S OF SUMNER AV,NA,NA,NA,NA,NA,NA,NA
cycle,6415,E,59485,1,1,NA,417,433,1.038369305,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,E,59485,1,3,NA,840,507,0.603571429,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,E,59485,1,4,NA,397,293,0.738035264,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,E,59485,1,5,NA,249,126,0.506024096,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,E,59485,1,6,NA,565,520,0.920353982,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,E,59485,1,12,NA,471,482,1.023354565,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,E,59485,1,18,NA,789,495,0.627376426,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,E,59485,1,19,NA,516,349,0.676356589,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,E,59485,1,20,NA,578,590,1.020761246,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,E,59485,1,25,NA,542,497,0.91697417,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,E,59485,1,26,NA,417,547,1.3117506,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,E,59485,1,27,NA,520,546,1.05,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,E,59485,2,1,NA,1088,111,0.102022059,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,E,59485,2,2,NA,354,506,1.429378531,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
