date,n
Thu 11 Feb 2016,2447
Fri 12 Feb 2016,2114
Sat 13 Feb 2016,1075
Sun 14 Feb 2016,1115
Mon 15 Feb 2016,2528
Tue 16 Feb 2016,1930
Wed 17 Feb 2016,1932
Thu 18 Feb 2016,1643
Fri 19 Feb 2016,1772
Sat 20 Feb 2016,1061
Sun 21 Feb 2016,1092
Mon 22 Feb 2016,2290
Tue 23 Feb 2016,1987
Wed 24 Feb 2016,2321
Thu 25 Feb 2016,2204
Fri 26 Feb 2016,1988
Sat 27 Feb 2016,1109
Sun 28 Feb 2016,1170
Mon 29 Feb 2016,2446
Tue 1 Mar 2016,2402
Wed 2 Mar 2016,2529
Thu 3 Mar 2016,2455
Fri 4 Mar 2016,2018
Sat 5 Mar 2016,1088
Sun 6 Mar 2016,1153
Mon 7 Mar 2016,2438
Tue 8 Mar 2016,2193
Wed 9 Mar 2016,2153
Thu 10 Mar 2016,1385
Fri 11 Mar 2016,1901
Sat 12 Mar 2016,770
Sun 13 Mar 2016,783
Mon 14 Mar 2016,1040
Tue 15 Mar 2016,2422
Wed 16 Mar 2016,2469
Thu 17 Mar 2016,2253
Fri 18 Mar 2016,767
Sat 19 Mar 2016,784
Sun 20 Mar 2016,1127
Mon 21 Mar 2016,2427
Tue 22 Mar 2016,2568
Wed 23 Mar 2016,2403
Thu 24 Mar 2016,1876
Fri 25 Mar 2016,800
Sat 26 Mar 2016,723
Sun 27 Mar 2016,586
Mon 28 Mar 2016,752
Tue 29 Mar 2016,1806
Wed 30 Mar 2016,2003
Thu 31 Mar 2016,1980
Fri 1 Apr 2016,1777
Sat 2 Apr 2016,867
Sun 3 Apr 2016,954
Mon 4 Apr 2016,2196
Tue 5 Apr 2016,2286
Wed 6 Apr 2016,795
Thu 7 Apr 2016,2065
Fri 8 Apr 2016,1784
Sat 9 Apr 2016,1047
Sun 10 Apr 2016,1068
Mon 11 Apr 2016,2141
Tue 12 Apr 2016,2160
Wed 13 Apr 2016,2333
Thu 14 Apr 2016,2261
Fri 15 Apr 2016,2027
Sat 16 Apr 2016,976
Sun 17 Apr 2016,1067
Mon 18 Apr 2016,2399
Tue 19 Apr 2016,2486
Wed 20 Apr 2016,2478
Thu 21 Apr 2016,1349
Fri 22 Apr 2016,1592
Sat 23 Apr 2016,814
Sun 24 Apr 2016,896
Mon 25 Apr 2016,910
Tue 26 Apr 2016,2415
Wed 27 Apr 2016,2275
Thu 28 Apr 2016,2144
Fri 29 Apr 2016,1300
Sat 30 Apr 2016,1075
Sun 1 May 2016,582
Mon 2 May 2016,2096
Tue 3 May 2016,1519
Wed 4 May 2016,2087
Thu 5 May 2016,2074
Fri 6 May 2016,1820
Sat 7 May 2016,1143
Sun 8 May 2016,277
Mon 9 May 2016,1586
Tue 10 May 2016,1520
Wed 11 May 2016,1973
Thu 12 May 2016,1907
Fri 13 May 2016,1820
Sat 14 May 2016,1060
Sun 15 May 2016,855
Mon 16 May 2016,2061
Tue 17 May 2016,2061
Wed 18 May 2016,2067
Thu 19 May 2016,1645
Fri 20 May 2016,1681
Sat 21 May 2016,857
Sun 22 May 2016,766
Mon 23 May 2016,1706
Tue 24 May 2016,2020
Wed 25 May 2016,1462
Thu 26 May 2016,864
Fri 27 May 2016,1487
Sat 28 May 2016,458
Sun 29 May 2016,653
Mon 30 May 2016,1891
Tue 31 May 2016,1878
Wed 1 Jun 2016,1813
Thu 2 Jun 2016,1699
Fri 3 Jun 2016,1466
Sat 4 Jun 2016,275
Sun 5 Jun 2016,300
Mon 6 Jun 2016,1532
Tue 7 Jun 2016,1429
Wed 8 Jun 2016,1351
Thu 9 Jun 2016,1340
Fri 10 Jun 2016,1137
Sat 11 Jun 2016,411
Sun 12 Jun 2016,487
Mon 13 Jun 2016,547
Tue 14 Jun 2016,1509
Wed 15 Jun 2016,1580
Thu 16 Jun 2016,1300
Fri 17 Jun 2016,949
Sat 18 Jun 2016,348
Sun 19 Jun 2016,658
Mon 20 Jun 2016,737
Tue 21 Jun 2016,1242
Wed 22 Jun 2016,1436
Thu 23 Jun 2016,1009
Fri 24 Jun 2016,669
